Job Title,Company,Location,Time Of Work,Job Description
Senior Analyst - Financial Planning & Control,flydubai -,"Dubai, United Arab Emirates ",Full Time,Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Analysis · Business Analysis · Finance · Accounting · Financial Analysis
Infrastructure SAN Storage and Data Protection Manager,Confidential -,"Cairo, Egypt ",Full Time,Manager · 8 - 10 Yrs of Exp · IT/Software Development · SAN Storage · Data Center Management
Senior MIS Risk Analyst,Al Ahly capital holding - Al Ahly Tamkeen -,"Zamalek, Cairo, Egypt ",Full Time,Experienced · 3 - 5 Yrs of Exp · Banking · Analyst/Research · Analysis · Data Analysis · Computer Science · Banking · Risk · Management · information system · business
Data Analysis/Analytics Instructor (Excel - Power BI),EpsilonAI -,"Nasr City, Cairo, Egypt ",Full Time,Experienced · 1+ Yrs of Exp · IT/Software Development · Analyst/Research · Training/Instructor · Analysis · business · Business Intelligence · Data Analysis · Computer Science · Power BI · SQL
safety and security supervisor,Alert International -,"Riyadh, Saudi Arabia ",Full Time,Not specified · IT/Software Development · Quality · Engineering - Telecom/Technology · Security · Engineering · Computer Science · Quality · Information Technology (IT) · Safety · English
Senior Analyst - Forecasting and Research,Transguard group -,"Dubai, United Arab Emirates ",Full Time,Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Analysis · Business Analysis · Finance · Accounting · Financial Analysis
Senior Compliance Analyst (Client Acceptance) - For UAE Nationals,ADCB Abu Dhabi Commercial Bank -,"Dubai, United Arab Emirates ",Full Time,Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Analysis · Business Analysis · Finance · Accounting · Financial Analysis
Finance Analyst,Raytheon -,"Riyadh, Saudi Arabia ",Full Time,Not specified · Accounting/Finance · Banking · Analyst/Research · Finance · Accounting · Financial Analysis · Commerce · Microsoft Office · Analyst · Economics
BI Developer,Confidential -,"Nasr City, Cairo, Egypt ",Full Time,Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Microsoft Power BI · BI · Computer Science · Data Warehouse · Engineering · ETL · Information Technology (IT)
Manager IT Platform Operations,Charterhouse Middle East -,"Dubai, United Arab Emirates ",Full Time,Not specified · IT/Software Development · Operations/Management · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · ITIL · Infrastructure · Management · Operations · Support
Assistant Professor in Statistics,University of Doha for Science and Technology (UDST) -,"Doha, Qatar ",Full Time,Not specified · Human Resources · Engineering - Telecom/Technology · Education/Teaching · Education · Teaching · Tutor · Human Resources (HR) · Artificial Intelligence · Computer Engineering · Computer Science
Interactive Learning Specialist (KSA),Raytheon -,"Riyadh, Saudi Arabia ",Full Time,Not specified · Human Resources · IT/Software Development · Training/Instructor · Training · E-Learning · Information Technology (IT) · Learning · Business Development · Computer Science · Human Resources (HR)
