,Brand,Series,Package Dimensions,Resolution,Processor Brand,Processor Type,Processor Speed,Processor Count,RAM Size,Hard Drive Size,Hard Disk Description,Graphics Chipset Brand,Item Weight,Color,Availability Date,Rating,Number Of Ratings,Price
175,LENOVO,IdeaPad Flex 5 14ITL05,42 x 32 x 7 cm; 1.5 Kilograms,1920x1080 Pixels,Intel,Intel Core i5-1135G7,2.4 GHz,4,,256 GB,256GB SSD M.2 2242 PCIe® 3.0x4 NVMe,Intel,1.5 Kilograms,Graphite Grey,6 November 2023,,,38217
176,LENOVO,IdeaPad Flex 5 14ITL05 i5-1135G7 8G 256G WIN11,47.9 x 28.2 x 6.9 cm; 1.5 Kilograms,1920x1080 Pixels,Intel,Intel Core i5-1135G7,2.4 GHz,4,,256 GB,256GB SSD M.2 2242 PCIe® 3.0x4 NVMe,Intel,1.5 Kilograms,Graphite Grey,1 November 2023,,,38217
177,HP,HP ProBook 450 G9,52 x 33 x 9 cm; 1.74 Kilograms,1920x1080,Intel,Core i5,3.3,10,8,512 GB,SSD,NVIDIA,1.74 Kilograms,,23 July 2023,,,38199
178,Lenovo,Lenovo IdeaPad Gaming 3 - 82K2006SFE,58 x 35 x 8 cm; 2.25 Kilograms,1920x1080 Pixels,AMD,Ryzen 5 5600H,3.3 GHz,6,16 GB,512 GB,SSD,NVIDIA,2.25 Kilograms,Black,28 April 2023,1.0,1,48341.
179,HP,15-FB0031NE,,,Intel,Core i3-9300T,3 GHz,1,8,,SSD,Intel,2 Kilograms,,11 November 2022,,,37999
180,Lenovo,IdeaPad Gaming 3 15IHU6,,1920 x 1080 Pixels,Intel,Intel Core i5,3.1 GHz,1,,256 GB,SSD,NVIDIA,2.25 Kilograms,Black,12 November 2022,4.7,15,36905.
181,HP,Probook 450 G8 i5 8G 512 W11,55.1 x 30.7 x 6.8 cm; 1.74 Kilograms,1920x1080 Pixels,Intel,Intel Core i5-1135G7,2.4 GHz,4,8 GB,512 GB,512 GB PCIe NVMe SSD,Intel,1.74 Kilograms,Pike silver aluminum,31 October 2023,,,37141
182,HP,HP Victus Gaming,55.5 x 30.9 x 6.7 cm; 2.29 Kilograms,1920x1080 Pixels,AMD,Ryzen 5 5600H,3.3 GHz,6,,512 GB,512 GB PCIe NVMe M.2 SSD,AMD,2.29 Kilograms,Mica Silver,7 October 2023,,,37141
183,HP,15-fb0071nia,55.5 x 30.6 x 6.8 cm; 2.29 Kilograms,1920x1080 Pixels,AMD,Ryzen 5 5600H,3.3 GHz,6,,512 GB,512 GB PCIe NVMe M.2 SSD,AMD,2.29 Kilograms,Mica Silver,7 October 2023,,,37141
184,HP,Victus Gaming Laptop,52.2 x 30.7 x 6.8 cm; 2.4 Kilograms,1920x1080 Pixels,Intel,Intel Core i5,2 GHz,8,,512 GB,512 GB PCIe NVMe SSD,NVIDIA,2.4 Kilograms,Mica Silver,8 November 2023,,,37029
185,HP,14-DV2006NE,,,Intel,Core i3-9300T,3 GHz,1,16,512 GB,SSD,Intel,2 Kilograms,,11 November 2022,,,36999
186,HP,15-FB0032NE,,,Intel,Core i3-9300T,3 GHz,1,8,,SSD,Intel,2 Kilograms,,11 November 2022,,,36999
187,LENOVO,IdeaPad Gaming 3 15ACH6 5600H 16GB 512GBSSD 3050TI W11,53.6 x 32.6 x 10.4 cm; 2.25 Kilograms,1920x1080 Pixels,AMD,Ryzen 5 5600H,3.3 GHz,6,16 GB,512 GB,SSD,NVIDIA,2.25 Kilograms,Shadow Black,21 February 2023,,,36905
